x,y
2016-11-07 10:28:40,4
2016-11-07 10:28:45,22
2016-11-07 10:28:50,21
2016-11-07 10:28:55,23
2016-11-07 10:29:00,30
2016-11-07 10:29:05,18
2016-11-07 10:29:10,21
2016-11-07 10:29:15,19
2016-11-07 10:29:20,25
2016-11-07 10:29:25,25
2016-11-07 10:29:30,30
2016-11-07 10:29:35,25
2016-11-07 10:29:40,24
2016-11-07 10:29:45,19
2016-11-07 10:29:50,18
2016-11-07 10:29:55,22
2016-11-07 10:30:00,28
2016-11-07 10:30:05,27
2016-11-07 10:30:10,28
2016-11-07 10:30:15,32
2016-11-07 10:30:20,29
2016-11-07 10:30:25,33
2016-11-07 10:30:30,32
2016-11-07 10:30:35,20
2016-11-07 10:30:40,33
2016-11-07 10:30:45,26
2016-11-07 10:30:50,23
2016-11-07 10:30:55,25
2016-11-07 10:31:00,23
2016-11-07 10:31:05,34
2016-11-07 10:31:10,23
2016-11-07 10:31:15,30
2016-11-07 10:31:20,26
2016-11-07 10:31:25,39
2016-11-07 10:31:30,39
2016-11-07 10:31:35,26
2016-11-07 10:31:40,23
2016-11-07 10:31:45,28
2016-11-07 10:31:50,18
2016-11-07 10:31:55,26
2016-11-07 10:32:00,34
2016-11-07 10:32:05,34
2016-11-07 10:32:10,21
2016-11-07 10:32:15,22
2016-11-07 10:32:20,27
2016-11-07 10:32:25,22
2016-11-07 10:32:30,31
2016-11-07 10:32:35,31
2016-11-07 10:32:40,25
2016-11-07 10:32:45,28
2016-11-07 10:32:50,19
2016-11-07 10:32:55,25
2016-11-07 10:33:00,25
2016-11-07 10:33:05,31
2016-11-07 10:33:10,55
2016-11-07 10:33:15,37
2016-11-07 10:33:20,24
2016-11-07 10:33:25,25
2016-11-07 10:33:30,31
2016-11-07 10:33:35,24
2016-11-07 10:33:40,26
2016-11-07 10:33:45,21
2016-11-07 10:33:50,19
2016-11-07 10:33:55,22
2016-11-07 10:34:00,24
2016-11-07 10:34:05,27
2016-11-07 10:34:10,36
2016-11-07 10:34:15,26
2016-11-07 10:34:20,26
2016-11-07 10:34:25,22
2016-11-07 10:34:30,25
2016-11-07 10:34:35,18
2016-11-07 10:34:40,18
2016-11-07 10:34:45,22
2016-11-07 10:34:50,20
2016-11-07 10:34:55,22
2016-11-07 10:35:00,38
2016-11-07 10:35:05,26
2016-11-07 10:35:10,19
2016-11-07 10:35:15,34
2016-11-07 10:35:20,29
2016-11-07 10:35:25,29
2016-11-07 10:35:30,14
2016-11-07 10:35:35,26
2016-11-07 10:35:40,24
2016-11-07 10:35:45,20
